SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
lg;256.0;3487691.0;146921875.0;121.0;512418000000000.0;1617254.0;3.0;7.0;Main8.jpg;;Main;Indent 8;3432f575-9d7d-4600-a52b-cf682c33c2d7
llg;315.0;3072002.0;223778000000000.0;194.0;687446000000000.0;1331323.0;0.0;4.0;Main0.jpg;;Main;Indent 0;afec3d90-808c-4c50-b759-535754388ceb
llg;207.0;3111706.0;220217000000000.0;165.0;685252000000000.0;129889.0;1.0;3.0;Do8.jpg;;Do;Indent 8;afec3d90-808c-4c50-b759-535754388ceb
llg;232.0;2951203.0;241078000000000.0;194.0;711469000000000.0;135632.0;2.0;14.0;Test4.jpg;;Test;Indent 4;afec3d90-808c-4c50-b759-535754388ceb
llg;316.0;2915102.0;266848000000000.0;197.0;777890000000000.0;1207676.0;3.0;9.0;Program2.jpg;;Program;Indent 2;afec3d90-808c-4c50-b759-535754388ceb
mdg;398.0;389917.0;152611000000000.0;135.0;595055000000000.0;1546223.0;0.0;9.0;Program2.jpg;;Program;Indent 2;b2086a14-44bf-4a26-8261-f2679230b9a8
mdg;400.0;3753296.0;151775.0;135.0;569656000000000.0;1783768.0;1.0;4.0;Main0.jpg;;Main;Indent 0;b2086a14-44bf-4a26-8261-f2679230b9a8
mdg;379.0;3837198.0;159462000000000.0;136.0;611886000000000.0;1702269.0;2.0;14.0;Test4.jpg;;Test;Indent 4;b2086a14-44bf-4a26-8261-f2679230b9a8
mdg;267.0;3643161.0;168270000000000.0;135.0;613034000000000.0;1583909.0;3.0;3.0;Do8.jpg;;Do;Indent 8;b2086a14-44bf-4a26-8261-f2679230b9a8
mg;511.0;3297945.0;213450000000000.0;151.0;703947000000000.0;1179519.0;0.0;13.0;Test2.jpg;;Test;Indent 2;37fa1096-5dfd-4de0-95c5-7faf8e02f999
mg;649.0;3452293.0;195968000000000.0;161.0;676538000000000.0;1245917.0;1.0;4.0;Main0.jpg;;Main;Indent 0;37fa1096-5dfd-4de0-95c5-7faf8e02f999
mg;797.0;3325489.0;214274000000000.0;164.0;712564000000000.0;1016858.0;2.0;10.0;Program4.jpg;;Program;Indent 4;37fa1096-5dfd-4de0-95c5-7faf8e02f999
mg;1050.0;3457393.0;21748400000000.0;179.0;751927000000000.0;1072081.0;3.0;3.0;Do8.jpg;;Do;Indent 8;37fa1096-5dfd-4de0-95c5-7faf8e02f999
